pers_id,periodo,score
1599402201,2019-12-01,948
1616580958,2019-12-01,972
1625728480,2019-12-01,954
1629294933,2019-12-01,999
1660293189,2019-12-01,1002
1687628764,2019-12-01,834
1690342018,2019-12-01,898
1713858788,2019-12-01,488
1753875752,2019-12-01,811
1770697798,2019-12-01,131
1789254044,2019-12-01,832
1789724341,2019-12-01,975
1843768470,2019-12-01,437
1851385306,2019-12-01,458
1870038998,2019-12-01,448
1886255867,2019-12-01,52
1938616963,2019-12-01,618
1962323061,2019-12-01,478
1963985345,2019-12-01,372
1989449665,2019-12-01,656
2003225446,2019-12-01,624
2022345810,2019-12-01,914
2042302926,2019-12-01,442
2088233739,2019-12-01,290
2094613223,2019-12-01,1011
2116794218,2019-12-01,631
2119395427,2019-12-01,633
2137720871,2019-12-01,721
2148009604,2019-12-01,316
2148263955,2019-12-01,920
2159357252,2019-12-01,552
2175865560,2019-12-01,466
2200874518,2019-12-01,714
2207572770,2019-12-01,911
2225966374,2019-12-01,261
2253362385,2019-12-01,443
2275821278,2019-12-01,62
2301641589,2019-12-01,451
2307212948,2019-12-01,285
2313907016,2019-12-01,447
2338956440,2019-12-01,399
2365327622,2019-12-01,51
2370529251,2019-12-01,475
2413195055,2019-12-01,330
2415258256,2019-12-01,990
2421390840,2019-12-01,901
2452945097,2019-12-01,478
2467015491,2019-12-01,140
2507592930,2019-12-01,444
2525933375,2019-12-01,725
2529890247,2019-12-01,945
2629238156,2019-12-01,1
2652740061,2019-12-01,239
2755984399,2019-12-01,407
2778009897,2019-12-01,391
2785345500,2019-12-01,205
2828522641,2019-12-01,31
2835440973,2019-12-01,406
2839973515,2019-12-01,647
2855114197,2019-12-01,1
2863280244,2019-12-01,653
2865682245,2019-12-01,925
2875330898,2019-12-01,799
2899486142,2019-12-01,321
2906154618,2019-12-01,940
2914568483,2019-12-01,428
2924198257,2019-12-01,816
2930770643,2019-12-01,754
2934858058,2019-12-01,955
3007545298,2019-12-01,414
3082676091,2019-12-01,931
3087879232,2019-12-01,606
3097016126,2019-12-01,311
3107497922,2019-12-01,469
3112405565,2019-12-01,355
3123665972,2019-12-01,116
3144123581,2019-12-01,943
3161025376,2019-12-01,367
3187667902,2019-12-01,1
3267122660,2019-12-01,752
3273701842,2019-12-01,504
3278066536,2019-12-01,393
3297440668,2019-12-01,385
3298835560,2019-12-01,955
3304121869,2019-12-01,397
3306429159,2019-12-01,696
3308728624,2019-12-01,24
3319086846,2019-12-01,937
3332670748,2019-12-01,485
3339956725,2019-12-01,782
3381828569,2019-12-01,660
3397598639,2019-12-01,884
3400112940,2019-12-01,763
3403713221,2019-12-01,395
3404381597,2019-12-01,5
3437798345,2019-12-01,768
3468159837,2019-12-01,426
3469729043,2019-12-01,734
3489655118,2019-12-01,789
3500442198,2019-12-01,934
3500680383,2019-12-01,415
3509959714,2019-12-01,224
3516527938,2019-12-01,717
3541527288,2019-12-01,9
3555199448,2019-12-01,414
3620726855,2019-12-01,169
3694370120,2019-12-01,104
